央视频道,#genre#
青岛-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
青岛少儿,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
影娱频道,#genre#
动画轮播,http://150.138.8.143/00/SNM/CHANNEL00000402/index.m3u8
电影轮播,http://150.138.8.143/00/SNM/CHANNEL00000403/index.m3u8
综艺轮播,http://150.138.8.143/00/SNM/CHANNEL00000405/index.m3u8
电视轮播,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8
电竞频道,http://150.138.8.143/00/SNM/CHANNEL00000408/index.m3u8
球类测试频道,http://150.138.8.143/00/SNM/CHANNEL00000646/index.m3u8
足球,http://150.138.8.143/00/SNM/CHANNEL00000704/index.m3u8
喜剧剧院,http://150.138.8.143/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://150.138.8.143/00/SNM/CHANNEL00000603/index.m3u8
光影影院,http://150.138.8.143/00/SNM/CHANNEL00000611/index.m3u8
 美食频道,http://150.138.8.143/00/SNM/CHANNEL00000612/index.m3u8
爱生活,http://150.138.8.143/00/SNM/CHANNEL00000639/index.m3u8
精选影视,http://150.138.8.143/00/SNM/CHANNEL00000621/index.m3u8
IPTV经典电影,http://150.138.8.143/00/SNM/CHANNEL00000604/index.m3u8
IPTV少儿动画,http://150.138.8.143/00/SNM/CHANNEL00000605/index.m3u8
IPTV相声小品,http://150.138.8.143/00/SNM/CHANNEL00000606/index.m3u8
IPTV魅力时尚,http://150.138.8.143/00/SNM/CHANNEL00000609/index.m3u8
IPTV热播剧场,http://150.138.8.143/00/SNM/CHANNEL00000608/index.m3u8
江苏财富天下,http://150.138.8.143/00/SNM/CHANNEL00000607/index.m3u8
